uID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
1,217.23784462392524,0.8142044840843929,0.5781818869958646,0.055192866714922406,-0.7897663679892819,-0.7736040518701093,-0.4395147046151265,0.6504985118576181,0.03139717768382955,0.28291017812765895,0.640879484916008,-0.05690076762777996,0.0013431404456736296,0.629425299314754,-0.3484255421801252,-0.15941069325413326,0.07915348944530315,0.2913853590024351,-0.8720683700186843,0.03613383778609447
2,216.90873503650786,0.32022684256489353,0.48078775005109353,-0.5258485855301156,-0.00488670566428534,-0.998208461290808,0.8329286596421819,0.9524851836028709,-0.04030139945757327,-0.24299124075959003,0.11526191007071795,-0.03205217042226888,-0.19110762401760306,0.8267166262515059,0.02917315136869325,-0.12491469165044844,0.2562325220422932,0.2839201779891647,-0.057172654144485385,1.2025536255513636
3,216.98919324164152,0.9849520272621299,0.20285381989117868,-0.2692418712796161,-0.21166275391034461,0.5495061870041265,0.2880843980501784,-0.06014154729218868,0.113214583485786,0.23575643936654192,0.25634858483372636,0.23804144219224518,-0.8737418269691479,0.05863997196405968,0.28584472839854314,0.10317523077218271,0.19779000024619675,-0.44416926331969053,-0.03544712821908377,-0.28756266133658426
4,216.87198416836523,1.2740420112338626,-0.4598161779877308,0.07172213888899304,-0.4541665513069309,0.02049199535013696,-0.08604964936770407,-0.24999442773137193,-0.23522888920032642,-0.5221785497120625,0.434760723965232,-0.5615684979742566,-0.14385014894112835,-0.1771731568213205,-0.021250005138344852,-0.022883225115632344,0.3086593173098959,-0.14691334343984042,0.032593619440957206,-0.03705492619054773
5,215.72247530663236,0.8504879927639091,-1.7923968745040455,1.1581683483380711,0.5975222676088272,1.1579748166613375,-1.1251849797109608,0.16468161236408752,0.2033391901837029,0.49123936717950767,0.5726984952078202,0.42607340179038294,0.6133682748869871,-0.21711696215629916,0.24344099534095887,-0.06830927839590939,-0.13464861580379134,-0.18193850220034347,-0.14078664888645284,-1.0235518512793234
6,216.96132031408047,1.7698690861642585,-0.21175337403366923,-0.5195074032995564,-1.4798323025673439,-0.09904818574064028,-0.5400017366429561,-0.1911333958171828,0.4546037000648737,-0.023390641825559035,0.0680857520459901,-0.8417883494047365,-0.3355091720438388,0.3106020948804809,-1.623515959341043,-0.25289426046685093,-0.7964864315018716,-0.46757447404449937,0.35222456588958917,0.1502107038512015
7,217.11406434121278,0.9258736357245207,1.0299088242196204,-1.0427373128789477,0.06313151818703028,0.5971851397535219,0.5717548149533218,-0.06617586410541065,0.10774021895151376,-0.19124119094454473,-0.16797992860861233,-0.18077197269670586,0.7784767749186943,-0.09009437969097156,0.013919806921304234,0.16760921259406214,-0.6088271207341732,-0.2550388102380359,0.2060779124127833,0.4978223773838645
8,217.39195826972204,0.0799726758777971,1.1612658240943845,-0.25711442740214974,1.3515799170241583,-0.1961987976918217,0.6169651635751849,-0.26260205053427077,-0.3344003727780435,-0.6070058449775441,-0.3374550351621284,-0.2037471912779994,1.3802173961969049,0.21725041270665896,-0.35052854275279643,-0.2692499932744876,-1.2264080656046967,-0.4185131898647094,-0.17494182549230505,0.8273099457069837
9,217.12567620446745,0.34880872739003954,0.9152787059864478,-0.3867572122842162,1.1115747597879644,-0.8194286404277019,0.5332509312774095,0.2902000329814667,-0.3613276315130565,0.05726468514362788,0.2680740197544491,-0.0078048697619902685,0.48127020005648746,0.18354934994667338,-0.5817674265725881,-0.6323353677656909,-0.34343348306001914,0.2625203507991858,0.018902466698715564,0.023623639667844587
10,219.3167990032882,0.07209211164488794,3.9787855784118276,-0.19801674328270114,-1.8834901752612638,-1.460372622001675,-3.016841569213217,0.15688112064933013,1.3754741457210482,2.3909756421778163,-0.1497224498969194,0.19039075019427038,0.42881304665135467,1.8595337352799919,-0.7744373969301146,-0.7756567549086142,-0.05471590878154331,0.32869983619777954,-0.895694739474987,1.478071825621216
11,216.0942448140347,0.3204354966795735,-1.077068902563155,-0.08730922008387232,0.770905641389986,-0.316368471268604,0.9318600929916399,-0.6024956643048451,0.8445800068726705,-0.46094656796034117,0.6737635077249853,0.8996488469817183,-0.05849952305988526,0.3114387017047612,-1.2377909227176767,-0.36314220912701645,0.5616788076651327,-0.22238936159190215,0.17814920903824974,-0.03017549126864255
12,216.82365253738365,0.9921726164389908,-0.36182482407675876,0.11947734693195322,0.05351390999020367,0.15704240060313868,0.4753681390919714,-0.0372616977515674,-0.2678324682955931,-0.5894245276407447,0.4007446965469479,-0.077391566412502,0.08035096988318147,0.22147176672487362,0.012976351902159289,-0.06256390800155764,-0.19409366071335088,-0.07315065956980193,0.19984999420569366,-0.481660370774956
13,216.56202746797666,0.4115500943461885,-0.21461441078348065,-0.4984926924250064,-0.0497556754615231,0.5772168531102229,0.5832865422415106,0.7795576726632809,0.2497978369246372,0.6936185627392096,0.13012782777559395,0.0473202164432992,0.2790597810919164,0.7298425144300682,0.003338527667773983,0.1695178455315206,-0.2882332836797914,0.4292299406874742,-0.09023114297192444,0.38432186742751184
14,216.7256853414166,1.426872815976261,-0.4119659489298191,-0.25612175442350127,-0.04602977297426819,-0.1040394138055134,-0.0797621541872828,-0.042965230467529425,-0.007948017349240555,-0.020507772462807418,-0.24380506846749772,0.07386089529029438,0.03225289111918972,-0.27747575827200277,0.0419571819692488,-0.04441933111492724,0.157080932548966,-0.43578380911809833,-0.36537667784302386,-0.14387058872443492
15,216.16090767540476,0.8575569624260515,-0.7823837997844116,-0.5522023575136696,0.044654192845584695,-0.045497216287827935,0.251370663502652,0.5871663824916913,0.6837606366399236,-0.6991879158999239,0.3776495966863882,0.8471197707399427,0.07948500693971328,-0.6505933791547392,-0.0774977588824648,-0.22962213987854518,0.6122738340389849,-0.007009271471245748,0.19127935492772533,-0.23912032430235552
16,216.4889397669345,0.8633826950279733,-0.44937694738786993,-0.5459514521579671,-0.12414819091589696,-0.24311916868384287,-0.7971936303549461,-0.03770332869138149,0.3813249421493792,-0.5449278380715615,-0.26738527014462776,-0.10689364340285769,0.18645693192832313,-0.13084420263254548,0.027761066484797814,-0.09946458465609864,0.10150965260317396,-0.8754654886370294,-0.6426946252363478,-0.49550086443525765
17,217.9334068753263,-0.7668701608569644,1.6535535652503337,0.18666899365565914,0.79074169120945,1.1327160058320762,-0.9793078809488782,-0.13231839995411865,-0.1366623764196489,-0.24712582710845526,-1.1942042369503725,0.5404974914154387,1.594915060656539,0.38187983641522966,0.13554037892549975,-0.46705835752609315,0.4834993917160329,0.2742197344661659,-0.029935462102128274,1.2058115255662036
18,217.1113235049551,-3.457085616930778,1.0591048970641248,-2.0424038593487555,-0.036836922768623104,-1.1299517234583707,-2.2541540422014106,1.2282517027801596,1.5587370360732509,1.7203887041764343,-0.28450477193724266,0.4276051054501056,-2.2752239895323756,3.412635138033113,0.8833058496803117,-2.2358070983004312,-0.44295948380100086,1.0014274193693669,2.0253125712368334,-0.6570573061966992
19,216.72586559323537,-0.38336237445989635,1.1418622476745948,-0.729604703794599,0.6863433048126277,-0.18603451701156876,-0.2571834606464267,0.2273586181885967,-0.30275064878065056,0.018363495244844867,-0.24669666216901454,0.8784224361026507,-0.7045110626207902,-1.990903895238646,-0.1928018562730358,0.2669481739153111,0.5943354431662506,0.31793374948704933,-0.6445165131873098,-0.3645984106262346
20,216.88137445125446,1.2315213151662712,-0.027761286581286182,-0.4037881634851337,0.29290376727112666,0.13465197110261917,-0.21247377413128837,-0.17168762591112996,-0.033763736074807316,-0.2720166468813468,-0.08037070578447847,-0.25068448986599623,0.5541311444087578,-0.020215852564903436,0.09205137950069975,0.05817258703863626,0.10782276444439687,-0.1398139774254088,0.13226369523903456,0.2360816993278755
21,216.58880977508633,1.331969830542414,-0.5093694097514612,-0.458163618866815,0.11632814507751171,0.21569217155148274,-0.07561674122125414,-0.3308843653792053,0.23492978760028227,-0.06484676498118225,-0.03870938410345559,0.09447968718338545,-0.34654574501721513,0.041810613652125794,-0.01422113774942102,0.6502439977913741,-0.2306854771381535,-0.09767912907221432,0.32507502921618103,0.10337607734162668
22,215.39778594494058,-2.004199056333386,-2.624758090940377,-0.46636842868831474,2.017122265158955,-0.34017027256938603,-0.09656408353753926,0.7107474146848336,0.6660358524095018,0.10435161637795684,0.47000619921589926,0.8931562727451828,-0.30749301409766505,0.6589770518776985,0.2123425522497664,0.0026693280542093856,0.656060539977275,0.765548493314486,-0.5885847995062663,0.6339199006160685
23,215.8494495695589,0.23613205333822718,0.23392847969755826,-1.036575743278767,0.26143639583664974,1.5578523971086249,0.6536436238486291,0.09649679146114298,-0.12302253723579398,0.8603265444910659,0.36261252267857524,-0.5966656368607481,0.5649434068691255,-0.007068612661754958,1.0190310524596977,1.2565487344669166,-0.11345052863390831,-0.3093578765999194,-0.8655390207001912,-0.5037220196356857
24,217.30133065683364,-0.522721731294185,0.7724450554503011,0.9241093907009525,0.023290622013194706,-0.0026170485936002352,0.6618393525541495,0.9045490761555575,0.5011004205504719,0.18106458065790842,0.6419363882066411,0.22225967303984284,-0.668474897943129,-0.06917973902070595,-0.3054648872795471,-0.3001932518310062,0.1399189000172128,-0.4174259546035033,0.5099666308030196,-1.0449860163042746
25,216.83128993177604,0.5694137151606176,0.47191069512809536,-1.2877488556553385,-0.2208492742686678,0.714373273602257,-0.3973446206352221,0.4494869539769717,0.4566961790436017,0.4595833388505887,-0.2845679488969244,0.07842875534703853,-0.46254680011571137,0.40668541145270726,0.3824002308443365,1.0219204031641551,-1.0377704587615475,0.4140498150811853,-0.2972347941006648,-0.15795160575935385
