scene_id,track_id,cluster_id_A,cluster_id_B,cluster_B_aligned,agree,n_frames,duration_s,mean_speed,median_speed,std_speed,p95_speed,max_speed,median_accel,p95_accel,max_accel,p95_jerk,heading_change_rate,turn_magnitude,stop_ratio,stationary_bursts,straightness,path_length,displacement,scenario_A,scenario_B_aligned
108,1,1,0,1,True,67,6.7000,0.0196,0.0000,0.1052,0.0000,0.7408,0.0000,1.1796,8.9669,14.8326,1.3387,8.8353,0.9851,1,0.2159,5.1462,1.1112,Stationary,Stationary
108,2,1,0,1,True,248,24.8000,0.0018,0.0000,0.0209,0.0000,0.2905,0.0000,0.0000,2.9046,0.0000,0.1980,4.8913,1.0000,0,0.0153,35.5835,0.5432,Stationary,Stationary
108,3,1,0,1,True,56,5.6000,0.0142,0.0000,0.0751,0.0000,0.4706,0.0000,0.9760,5.6876,14.8977,0.6853,3.7690,1.0000,0,0.2164,4.8235,1.0439,Stationary,Stationary
108,4,1,0,1,True,87,8.7000,0.0124,0.0000,0.0826,0.0000,0.6526,0.0000,0.0000,6.5256,0.0000,0.1094,0.9407,0.9885,1,0.2439,6.2049,1.5135,Stationary,Stationary
108,5,0,0,1,False,248,24.8000,2.4602,0.0498,2.9622,7.4219,7.6182,0.1906,2.0046,62.8286,5.8087,3.6428,89.9769,0.5444,1,0.9375,63.3085,59.3495,High-Speed Cruising,Stationary
108,6,1,0,1,True,60,6.0000,0.0059,0.0000,0.0322,0.0000,0.1979,0.0000,0.1582,3.2444,13.1255,1.0649,6.2832,1.0000,0,0.0666,20.7350,1.3800,Stationary,Stationary
108,7,1,0,1,True,248,24.8000,0.0189,0.0000,0.0573,0.1307,0.3777,0.0000,0.7150,4.3087,7.4334,1.2846,31.7291,1.0000,0,0.0538,17.7527,0.9559,Stationary,Stationary
108,8,0,0,1,False,248,24.8000,2.1124,0.5896,2.6054,7.2133,8.1249,0.5519,2.8086,71.0812,21.0995,2.6634,65.7871,0.4919,1,0.9557,52.9355,50.5894,High-Speed Cruising,Stationary
108,9,2,0,1,False,248,24.8000,0.0586,0.0130,0.1411,0.2596,1.6222,0.1622,0.9641,16.2223,8.3711,6.2475,106.5306,0.9919,1,0.0853,7.0858,0.6043,Low-Speed Maneuvering,Stationary
108,12,2,0,1,False,248,24.8000,0.8319,0.0257,1.5589,4.6587,4.9176,0.1334,1.3275,43.4663,5.8943,3.9608,97.8322,0.7540,1,0.7636,24.9576,19.0576,Low-Speed Maneuvering,Stationary
