uID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
1,3.3200789694518256,1.384290402783066,0.6862697979329518,0.5852574785681462,0.42776753943055285,0.20390004289529318,0.28487893151645044,0.04399132281174366,0.3281625589309901,0.03723405340261748,0.12228379417534362,0.28578473579528646,0.16806932680418699,0.24703433527869798,0.1375957823783178,0.25885306796919433,0.20295445690843583,0.26230064639068573,0.2937405233308987,0.27156680163876246,0.34011215738910583,0.21474313064429768,0.40311347656379437,0.33045564792218807,0.34399755562505435,0.17538200366401913,0.2768069469367817,0.31693804142028514,0.451183184621961,0.36201269968516137
2,2.9464500393594335,1.202612081856689,0.5556127388783811,0.5493039558449331,0.39789765413297706,0.2502648556284668,0.3676761566322286,0.13529312908921792,0.37192082246910374,0.1378244736270787,0.1160784559219061,0.23916704122627722,0.3496354203030573,0.31694043857051324,0.29192816096376756,0.23726744726472712,0.41104509126893674,0.3194762772397781,0.2875599728208366,0.2844440066913511,0.17434362273867454,0.28042105484454066,0.46952859113433426,0.2796343989280511,0.27208051407829986,0.2842714319176617,0.22275915076921002,0.3899474413713466,0.3993929583214235,0.23919721970317545
3,3.302441760063413,1.392195774051876,0.7441944799108545,0.3837372683347291,0.28236328016408163,0.3829113103501401,0.3338375061738557,0.31300676561409574,0.2579804372081928,0.3195386650477413,0.09767197864020319,0.31471692200520646,0.3729247263080016,0.24227458104083713,0.2604758365704071,0.3210703369866854,0.15302675459370774,0.28636145599110036,0.2571201023845768,0.3584546458253694,0.3242402368965106,0.2940927273288868,0.3528472380633957,0.06007428557658469,0.28871865663939483,0.12998000512546615,0.23496210992936156,0.2902839473771122,0.2992672238982645,0.18950297779323622
4,3.9571180197631466,1.7951065393513692,0.8963731282720319,0.512103646469748,0.2550064568592665,0.2185719127467536,0.3350413813662106,0.36545864553202106,0.2663095495719887,0.23151863085795685,0.14614154747782349,0.14814898277722843,0.4147794289739724,0.3285071367811832,0.06691322370985714,0.2846219229440621,0.004743172185369569,0.20553412641895394,0.21047672041463242,0.18491949412525188,0.1249279945081032,0.2729923087105279,0.14205732733022478,0.031155803004156494,0.4185499741143256,0.02473716237843184,0.23614917858838147,0.12433736878098998,0.4033971187698117,0.16008702942686073
5,3.227958295416749,1.3752838755970238,0.6822610654478765,0.23059041315947187,0.4154226285316958,0.2903450789814492,0.22343706593096843,0.4346910264920267,0.2718165125279906,0.5437335503755258,0.1909987995290016,0.2431923781562207,0.6373615423321743,0.24758457673013612,0.2536367476009067,0.36295648050458157,0.002576575050813439,0.29330298638878843,0.05522581131871762,0.3138321198480851,0.310266903741846,0.1604741046440811,0.32669228879828643,0.15508706787142107,0.31193095445631336,0.13205046508263352,0.3326562713792744,0.24048503992672998,0.20786677301962114,0.2765074657332662
6,3.000104663718219,1.2355579007774238,0.6524835440771326,0.4868381438442128,0.15497916133908096,0.16418057010605994,0.22433062565519107,0.19850759527127454,0.59006451429302,0.2756836051705398,0.0,0.3505029029178732,0.2988587117849554,0.3112508437840802,0.3398021192193488,0.16643672914299032,0.11493162648777105,0.3910178989721932,0.4205955493615937,0.4209783764599367,0.2700437202439569,0.28826253799755447,0.5220444232238658,0.28216018267444887,0.3607922677038963,0.24817587174502442,0.18010977921067173,0.24489671353080228,0.29278430559334806,0.35472400222461853
7,3.493743167725858,1.5026026928329852,0.6473437950642621,0.5396259484203814,0.12983786103240316,0.1823803409850248,0.4959070761315245,0.36503066000537954,0.3223914883456254,0.045563446895112256,0.1577909334980348,0.3323767370497444,0.026167621813944074,0.2448564460820505,0.007490994378248847,0.22800439104516174,0.16708480847890458,0.1964688546614279,0.1771027264158638,0.24096269082118882,0.23444328755299984,0.3570262690518998,0.18489845627689175,0.33618065484745274,0.3020821625976056,0.3551027559339324,0.26962119517845334,0.32370659482429454,0.39314927419364704,0.39867190608167785
8,3.0809314287957976,1.3198185966341922,0.6196817936518482,0.4726409356871815,0.15387399708992705,0.2884809687966038,0.37288442831295665,0.514980082769063,0.3771022872280704,0.4483097685544666,0.210614027817151,0.2625533581415303,0.4335823299866842,0.3340981510529361,0.09400909942331485,0.21321656087572577,0.36624731603160854,0.2608616914892978,0.11447415626074264,0.2959942917483845,0.028066648816684348,0.31709517367623113,0.21412036316149566,0.33497476204831916,0.217451750691114,0.2942933577071618,0.3891095191528894,0.23155110254158995,0.2907395159755501,0.3273483543402471
9,2.4570001257309815,0.9660134870867837,0.4767514121779926,0.3698132029999452,0.2635225072130286,0.4081122382169245,0.2742622103118191,0.21010087015956208,0.4868575610386912,0.5106971220021781,0.15229065122095353,0.2726836679109399,0.47201818381995786,0.3570908782311958,0.369904240248151,0.20134756037565193,0.48664348932806045,0.3585702338053465,0.17102466954164067,0.4009380846248827,0.21860003074198628,0.2784959096121842,0.5072181030794697,0.4095886954399445,0.20798170414082787,0.39263962999054025,0.3186402344003462,0.3460979720332662,0.25920252552681755,0.30984571613769124
10,3.074355475825214,1.2413320421422707,0.5292482238440723,0.6845763125615683,0.6231578662471053,0.2048414537228847,0.05959682352594608,0.052445278976128426,0.473670803328873,0.0,0.16627555449255071,0.5194030584962483,0.4983368373580092,0.28898450612779136,0.49680286731455775,0.24651387902055397,0.0,0.22267220151691255,0.35799169623605204,0.27724728472780047,0.0,0.4855731097618519,0.22899205285464422,0.21067506748156148,0.1620766949947123,0.13857796455010882,0.3308863636544144,0.21177408929986408,0.37135924244785107,0.702479451775886
